ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 01, 10833, NONE, NONE, NONE, SEM, MW, 8-9:15AM, OPEN, COB-140, Johnson D, Class instruction is: Face to Face - On Campus.
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 05, 3915, NONE, NONE, NONE, SEM, NA, NA, OPEN, ONLINE-ONLY, Lin P, Class instruction is: Asynch. Online-No Meet Times.
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 06, 8606, NONE, NONE, NONE, SEM, MW, 9:30-10:45AM, OPEN, COB-229, Hao P, Class instruction is: Face to Face - On Campus.
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 07, 4978, NONE, NONE, NONE, SEM, M, 4-6:45PM, OPEN, COB-122, Masterson M, Class instruction is: Face to Face - On Campus.
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 08, 6096, NONE, NONE, NONE, SEM, TuTh, 8-9:15AM, OPEN, COB-235, Masterson M, Class instruction is: Face to Face - On Campus.
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 09, 8814, NONE, NONE, NONE, SEM, MW, 2-3:15PM, OPEN, COB-123, Hao P, Class instruction is: Face to Face - On Campus.
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 11, 10834, NONE, NONE, NONE, SEM, MW, 5-6:15PM, OPEN, COB-214, Staff, Class instruction is: Face to Face - On Campus.
ACCT 300A, INTERMEDIATE ACCOUNTING, 4 Units, 01, 5023, NONE, NONE, NONE, SEM, M, 6-9:50PM, OPEN, COB-123, Johnson D, Class instruction is: Face to Face - On Campus.
ACCT 300A, INTERMEDIATE ACCOUNTING, 4 Units, 02, 3896, NONE, NONE, NONE, SEM, MW, 12-1:50PM, OPEN, HHS1-101, Wang V, Class instruction is: Face to Face - On Campus.
ACCT 300A, INTERMEDIATE ACCOUNTING, 4 Units, 03, 8420, NONE, NONE, NONE, SEM, Tu, 6-9:50PM, OPEN, HHS1-104, Smith Jones L, Class instruction is: Face to Face - On Campus.
ACCT 300A, INTERMEDIATE ACCOUNTING, 4 Units, 04, 5418, NONE, NONE, NONE, SEM, MW, 10-11:50AM, OPEN, HHS1-101, Lacey J, Class instruction is: Face to Face - On Campus.
ACCT 300A, INTERMEDIATE ACCOUNTING, 4 Units, 05, 8604, NONE, NONE, NONE, SEM, MW, 4-5:50PM, OPEN, HHS1-101, Wang V, Class instruction is: Face to Face - On Campus.
ACCT 300B, INTERMEDIATE ACCOUNTING, 4 Units, 01, 9978, NONE, NONE, NONE, SEM, MW, 4-5:50PM, OPEN, COB-218, Gaynor G, Class instruction is: Hybrid (Face to Face & Online).
ACCT 300B, INTERMEDIATE ACCOUNTING, 4 Units, 01, NONE, NONE, NONE, NONE, NONE, MW, 4-5:50PM, NONE, ONLINE-ONLY, Gaynor G, additional meeting detail
ACCT 300B, INTERMEDIATE ACCOUNTING, 4 Units, 02, 5983, NONE, NONE, NONE, SEM, Tu, 6-9:50PM, OPEN, COB-123, Chung S, Class instruction is: Face to Face - On Campus.
ACCT 300B, INTERMEDIATE ACCOUNTING, 4 Units, 03, 5760, NONE, NONE, NONE, SEM, TuTh, 2-3:50PM, OPEN, COB-123, Chung S, Class instruction is: Face to Face - On Campus.
ACCT 300B, INTERMEDIATE ACCOUNTING, 4 Units, 04, 7480, NONE, NONE, NONE, SEM, TuTh, 4-5:50PM, OPEN, COB-123, Chung S, Class instruction is: Face to Face - On Campus.
ACCT 300B, INTERMEDIATE ACCOUNTING, 4 Units, 05, 9979, NONE, NONE, NONE, SEM, M, 6-9:50PM, OPEN, COB-218, Gaynor G, Class instruction is: Face to Face - On Campus.
ACCT 300B, INTERMEDIATE ACCOUNTING, 4 Units, 07, 9981, NONE, NONE, NONE, SEM, TuTh, 12-1:50PM, OPEN, COB-218, Staff, Class instruction is: Face to Face - On Campus.
ACCT 320, COST ACCOUNTING, 4 Units, 01, 1003, NONE, NONE, NONE, SEM, W, 6-9:50PM, OPEN, COB-122, Bedard B, Class instruction is: Hybrid (Face to Face & Online).
ACCT 320, COST ACCOUNTING, 4 Units, 01, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Staff, additional meeting detail
ACCT 320, COST ACCOUNTING, 4 Units, 02, 1004, NONE, NONE, NONE, SEM, M, 6-9:50PM, OPEN, COB-112, Staff, Class instruction is: Hybrid (Face to Face & Online).
ACCT 320, COST ACCOUNTING, 4 Units, 02, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Staff, additional meeting detail
ACCT 320, COST ACCOUNTING, 4 Units, 03, 2874, NONE, NONE, NONE, SEM, Th, 6-9:50PM, OPEN, COB-123, Howard J, Class instruction is: Hybrid (Face to Face & Online).
ACCT 320, COST ACCOUNTING, 4 Units, 03, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Staff, additional meeting detail
ACCT 320, COST ACCOUNTING, 4 Units, 05, 9982, NONE, NONE, NONE, SEM, MW, 10-11:50AM, OPEN, COB-218, Hao P, Class instruction is: Face to Face - On Campus.
ACCT 320, COST ACCOUNTING, 4 Units, 06, 9983, NONE, NONE, NONE, SEM, MW, 2-3:50PM, OPEN, COB-218, Hao P, Class instruction is: Face to Face - On Campus.
ACCT 351, FEDERAL TAX LAW, 4 Units, 01, 1005, NONE, NONE, 311, SEM, MW, 12-1:50PM, OPEN, COB-218, Lee Y, Class instruction is: Face to Face - On Campus.
ACCT 351, FEDERAL TAX LAW, 4 Units, 02, 3403, NONE, NONE, 311, SEM, MW, 4-5:50PM, OPEN, HHS1-104, Lee Y, Class instruction is: Face to Face - On Campus.
ACCT 351, FEDERAL TAX LAW, 4 Units, 03, 4246, NONE, NONE, NONE, SEM, TuTh, 2-3:50PM, OPEN, COB-218, Howard J, Class instruction is: Face to Face - On Campus.
ACCT 351, FEDERAL TAX LAW, 4 Units, 04, 4473, NONE, NONE, NONE, SEM, TuTh, 4-5:50PM, OPEN, COB-218, Howard J, Class instruction is: Face to Face - On Campus.
ACCT 352, VOLUNTARY INCOME TAX ASSIST., 1-4 Units, 01, 4797, NONE, NONE, NONE, SEM, NA, NA, OPEN, COB-412, Krishnan S, nstructor Consent Required Class instruction is: Face to Face - On Campus.
ACCT 400, ADVANCED ACCOUNTING, 4 Units, 01, 3086, NONE, NONE, NONE, SEM, Tu, 6-9:50PM, OPEN, COB-218, Palmer J, Class instruction is: Face to Face - On Campus.
ACCT 465, INTERNATIONAL ACCOUNTING, 3 Units, 01, 1006, NONE, NONE, NONE, SEM, M, 7-9:45PM, OPEN, ONLINE-ONLY, Galeas M, Class instruction is: Synch. Online - Meet Times.
ACCT 470, AUDITING, 4 Units, 01, 1007, NONE, NONE, NONE, SEM, TuTh, 10-11:50AM, OPEN, COB-123, Simitian R, Class instruction is: Face to Face - On Campus.
ACCT 470, AUDITING, 4 Units, 02, 2476, NONE, NONE, NONE, SEM, TuTh, 2-3:50PM, OPEN, COB-124, Zhang S, Class instruction is: Face to Face - On Campus.
ACCT 470, AUDITING, 4 Units, 03, 10835, NONE, NONE, NONE, SEM, MW, 4-5:50PM, OPEN, COB-123, Sharpstone L, Class instruction is: Face to Face - On Campus.
ACCT 470, AUDITING, 4 Units, 04, 7021, NONE, NONE, NONE, SEM, W, 6-9:50PM, OPEN, COB-123, Simitian R, Class instruction is: Face to Face - On Campus.
ACCT 480, ACCT SYSTEMS & DATA PROCESSING, 4 Units, 01, 1008, NONE, NONE, NONE, SEM, MW, 12-1:50PM, OPEN, COB-240, Landa S, Class instruction is: Face to Face - On Campus.
ACCT 480, ACCT SYSTEMS & DATA PROCESSING, 4 Units, 02, 1009, NONE, NONE, NONE, SEM, MW, 4-5:50PM, OPEN, COB-240, Landa S, Class instruction is: Face to Face - On Campus.
ACCT 480, ACCT SYSTEMS & DATA PROCESSING, 4 Units, 03, 10265, NONE, NONE, NONE, SEM, Tu, 6-9:50PM, OPEN, ONLINE-ONLY, Flessing H, Class instruction is: Synch. Online - Meet Times.
ACCT 480, ACCT SYSTEMS & DATA PROCESSING, 4 Units, 04, 4362, NONE, NONE, NONE, SEM, M, 6-9:50PM, OPEN, COB-236, Landa S, Class instruction is: Face to Face - On Campus.
ACCT 493, ACCOUNTING INTERNSHIPS, 3 Units, 01, 2840, NONE, NONE, NONE, SEM, NA, NA, OPEN, COB-412, Lacey J, Class instruction is: Face to Face - On Campus.
ACCT 500, FINANCIAL ACCOUNTING, 3 Units, 01, 4153, NONE, NONE, NONE, SEM, Tu, 7-9:45PM, OPEN, ONLINE-ONLY, Lee Y, Class instruction is: Synch. Online - Meet Times.
ACCT 500, FINANCIAL ACCOUNTING, 3 Units, 04, 9346, NONE, NONE, 306, SEM, W, 7-9:45PM, OPEN, ONLINE-ONLY, Mashintchian J, Class instruction is: Synch. Online - Meet Times.
ACCT 605, SEMINAR IN ACCOUNTING INFO., 4 Units, 01, 5898, NONE, NONE, NONE, SEM, W, 6-9:50PM, OPEN, COB-237A, Smith R, Class instruction is: Hybrid (Face to Face & Online).
ACCT 605, SEMINAR IN ACCOUNTING INFO., 4 Units, 01, NONE, NONE, NONE, NONE, NONE, W, 7-9:45PM, NONE, ONLINE-ONLY, Staff, additional meeting detail
ACCT 605, SEMINAR IN ACCOUNTING INFO., 4 Units, 02, 6038, NONE, NONE, NONE, SEM, Th, 6-9:50PM, OPEN, COB-237A, Smith R, Class instruction is: Hybrid (Face to Face & Online).
ACCT 605, SEMINAR IN ACCOUNTING INFO., 4 Units, 02, NONE, NONE, NONE, NONE, NONE, Th, 6-8:45PM, NONE, ONLINE-ONLY, Staff, additional meeting detail
ACCT 610, MANAGERIAL ACCOUNTING CONTROL, 3 Units, 01, 6065, NONE, NONE, NONE, SEM, W, 7-9:45PM, OPEN, ONLINE-ONLY, Palmer J, Class instruction is: Synch. Online - Meet Times.
ACCT 611, SEM. AUDITING & ASSURANCE SVCS, 4 Units, 01, 6066, NONE, NONE, NONE, SEM, W, 6-9:50PM, OPEN, COB-218, Zhang S, Class instruction is: Hybrid (Face to Face & Online).
ACCT 611, SEM. AUDITING & ASSURANCE SVCS, 4 Units, 01, NONE, NONE, NONE, NONE, NONE, W, 6-9:50PM, NONE, ONLINE-ONLY, Zhang S, additional meeting detail
ACCT 611, SEM. AUDITING & ASSURANCE SVCS, 4 Units, 02, 6067, NONE, NONE, NONE, SEM, Th, 6-9:50PM, OPEN, COB-218, Zhang S, Class instruction is: Hybrid (Face to Face & Online).
ACCT 611, SEM. AUDITING & ASSURANCE SVCS, 4 Units, 02, NONE, NONE, NONE, NONE, NONE, Th, 6-9:50PM, NONE, ONLINE-ONLY, Zhang S, additional meeting detail
ACCT 622, TAXATION PARTNERSHIPS S CORP., 4 Units, 03, 6206, NONE, NONE, NONE, SEM, Sa, 9-12:45PM, OPEN, COB-139A, Conn R, Class instruction is: Hybrid (Face to Face & Online).
ACCT 622, TAXATION PARTNERSHIPS S CORP., 4 Units, 03, NONE, NONE, NONE, NONE, NONE, Sa, 9-12:45PM, NONE, ONLINE-ONLY, Staff, additional meeting detail
ACCT 500, FINANCIAL ACCOUNTING, 3 Units, 02, 9547, NONE, NONE, 306, SEM, M, 6-8:45PM, OPEN, ONLINE-ONLY, Huang X, Class instruction is: Online - Mixed Meet Times.
ACCT 500, FINANCIAL ACCOUNTING, 3 Units, 02, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Huang X, additional meeting detail
ACCT 610, MANAGERIAL ACCOUNTING CONTROL, 3 Units, 02, 9545, NONE, NONE, 307, SEM, Th, 6-8:45PM, OPEN, ONLINE-ONLY, Lin P, Class instruction is: Online - Mixed Meet Times.
ACCT 610, MANAGERIAL ACCOUNTING CONTROL, 3 Units, 02, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Lin P, additional meeting detail
ACCT 610, MANAGERIAL ACCOUNTING CONTROL, 3 Units, 03, 9546, NONE, NONE, 307, SEM, Tu, 6-8:45PM, OPEN, ONLINE-ONLY, Lin P, Class instruction is: Online - Mixed Meet Times.
ACCT 610, MANAGERIAL ACCOUNTING CONTROL, 3 Units, 03, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Lin P, additional meeting detail
ACCT 500, FINANCIAL ACCOUNTING, 3 Units, 03, 9565, NONE, NONE, 306, SEM, Tu, 6-8:45PM, OPEN, ONLINE-ONLY, Huang X, Class instruction is: Online - Mixed Meet Times.
ACCT 500, FINANCIAL ACCOUNTING, 3 Units, 03, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Huang X, additional meeting detail
ACCT 610, MANAGERIAL ACCOUNTING CONTROL, 3 Units, 04, 9563, NONE, NONE, 307, SEM, Tu, 6-8:45PM, OPEN, ONLINE-ONLY, Lau R, Class instruction is: Online - Mixed Meet Times.
ACCT 610, MANAGERIAL ACCOUNTING CONTROL, 3 Units, 04, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Lau R, additional meeting detail
ACCT 610, MANAGERIAL ACCOUNTING CONTROL, 3 Units, 05, 9564, NONE, NONE, 307, SEM, Th, 6-8:45PM, OPEN, ONLINE-ONLY, Lin P, Class instruction is: Online - Mixed Meet Times.
ACCT 610, MANAGERIAL ACCOUNTING CONTROL, 3 Units, 05, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Lin P, additional meeting detail
AFRS 100B, COMPOSITION II, 3 Units, 01, 2762, NONE, NONE, 310, SEM, MW, 9:30-10:45AM, OPEN, PSY-324, Okafor U, Class instruction is: Face to Face - On Campus.
AFRS 100B, COMPOSITION II, 3 Units, 02, 2763, NONE, NONE, 310, SEM, MW, 11-12:15PM, OPEN, PSY-324, Okafor U, Class instruction is: Face to Face - On Campus.
AFRS 100B, COMPOSITION II, 3 Units, 03, 3375, NONE, NONE, 310, SEM, TuTh, 9:30-10:45AM, OPEN, PSY-324, Okafor U, Class instruction is: Face to Face - On Campus.
AFRS 100B, COMPOSITION II, 3 Units, 04, 3376, NONE, NONE, 310, SEM, TuTh, 11-12:15PM, OPEN, PSY-324, Okafor U, Class instruction is: Face to Face - On Campus.
AFRS 100B, COMPOSITION II, 3 Units, 05, 3377, NONE, NONE, 310, SEM, MW, 9:30-10:45AM, OPEN, LA5-247, Turner-Odom S, Class instruction is: Face to Face - On Campus.
AFRS 100B, COMPOSITION II, 3 Units, 06, 3452, NONE, NONE, 310, SEM, MW, 8-9:15AM, OPEN, LA5-247, Turner-Odom S, Class instruction is: Face to Face - On Campus.
AFRS 100B, COMPOSITION II, 3 Units, 07, 7881, NONE, NONE, 310, SEM, TuTh, 2-3:15PM, OPEN, LA2-202, Staff, Class instruction is: Face to Face - On Campus.
AFRS 100B, COMPOSITION II, 3 Units, 08, 7882, NONE, NONE, 310, SEM, TuTh, 12:30-1:45PM, OPEN, LA3-206, Staff, Class instruction is: Face to Face - On Campus.
AFRS 110, INTRO TO AFRICANA STUDIES, 3 Units, 01, 2984, NONE, NONE, 310, LEC, TuTh, 11-12:15PM, OPEN, PSY-236, Nicholas A, Class instruction is: Face to Face - On Campus.
AFRS 119, INTRODUCTION TO ETHNIC STUDIES, 3 Units, 01, 6314, NONE, NONE, 310 310, LEC, TuTh, 9:30-10:45AM, OPEN, FCS-008, Staff, Class instruction is: Face to Face - On Campus.
AFRS 119, INTRODUCTION TO ETHNIC STUDIES, 3 Units, 02, 6370, NONE, NONE, 310, LEC, TuTh, 11-12:15PM, OPEN, COB-139, Staff, Class instruction is: Face to Face - On Campus.
AFRS 119, INTRODUCTION TO ETHNIC STUDIES, 3 Units, 03, 6371, NONE, NONE, 310, LEC, MW, 9:30-10:45AM, OPEN, PSY-150, Staff, Class instruction is: Face to Face - On Campus.
AFRS 119, INTRODUCTION TO ETHNIC STUDIES, 3 Units, 04, 6372, NONE, NONE, 310, LEC, MW, 11-12:15PM, OPEN, LA5-271, Page R, Class instruction is: Face to Face - On Campus.
AFRS 119, INTRODUCTION TO ETHNIC STUDIES, 3 Units, 05, 6373, NONE, NONE, 306, LEC, MW, 8-9:15AM, OPEN, ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
AFRS 119, INTRODUCTION TO ETHNIC STUDIES, 3 Units, 06, 6645, NONE, NONE, 310, LEC, TuTh, 12:30-1:45PM, OPEN, LA1-204, Staff, Class instruction is: Face to Face - On Campus.
AFRS 119, INTRODUCTION TO ETHNIC STUDIES, 3 Units, 07, 6646, NONE, NONE, 306, LEC, Th, 7-9:45PM, OPEN, ONLINE-ONLY, Edwards A, Class instruction is: Synch. Online - Meet Times.
AFRS 119, INTRODUCTION TO ETHNIC STUDIES, 3 Units, 08, 6647, NONE, NONE, 310, LEC, TuTh, 9:30-10:45AM, OPEN, PSY-236, Staff, Class instruction is: Face to Face - On Campus.
AFRS 119, INTRODUCTION TO ETHNIC STUDIES, 3 Units, 09, 6648, NONE, NONE, 310, LEC, TuTh, 8-9:15AM, OPEN, PSY-236, Staff, Class instruction is: Face to Face - On Campus.
AFRS 119, INTRODUCTION TO ETHNIC STUDIES, 3 Units, 10, 6644, NONE, NONE, 306, LEC, MW, 9:30-10:45AM, OPEN, ONLINE-ONLY, Page R, Class instruction is: Synch. Online - Meet Times.
AFRS 119, INTRODUCTION TO ETHNIC STUDIES, 3 Units, 11, 6694, NONE, NONE, 310, LEC, MW, 12:30-1:45PM, OPEN, LA5-167, Staff, Class instruction is: Face to Face - On Campus.
AFRS 121, AFR. AMER. HIST. 1865-PRESENT, 3 Units, 01, 2766, NONE, NONE, 310, LEC, TuTh, 11-12:15PM, OPEN, PSY-201, Claybrook M, Class instruction is: Face to Face - On Campus.
AFRS 140, INTRO TO AFRICAN AMER LIT, 3 Units, 01, 2765, NONE, NONE, 310, LEC, MW, 9:30-10:45AM, OPEN, LA5-165, Staff, Class instruction is: Face to Face - On Campus.
AFRS 150, CRIT THINKING IN AFRICANA STUD, 3 Units, 01, 2761, NONE, NONE, 310, LEC, MW, 11-12:15PM, OPEN, PSY-236, Wilson K, Class instruction is: Face to Face - On Campus.
AFRS 150, CRIT THINKING IN AFRICANA STUD, 3 Units, 02, 4415, NONE, NONE, 310, LEC, TuTh, 9:30-10:45AM, OPEN, LA5-247, Claybrook M, Class instruction is: Face to Face - On Campus.
AFRS 154, INTRO AFRICANA WOMEN'S STUDIES, 3 Units, 01, 10304, NONE, NONE, 310, LEC, TuTh, 9:30-10:45AM, OPEN, COB-235, Staff, Class instruction is: Face to Face - On Campus.
AFRS 155, AFRICAN AMERICAN MUSIC, 3 Units, 01, 3700, NONE, NONE, 310, LEC, MW, 12:30-1:45PM, OPEN, PSY-236, Wilson K, Class instruction is: Face to Face - On Campus.
AFRS 160, INTRODUCTION TO AFRICANA ARTS, 3 Units, 01, 5395, NONE, NONE, 310, LEC, TuTh, 12:30-1:45PM, OPEN, PSY-201, Wilson K, Class instruction is: Face to Face - On Campus.
AFRS 255, INTRODUCTION TO HIP HOP, 3 Units, 01, 3420, NONE, NONE, 310, LEC, TuTh, 2-3:15PM, OPEN, PSY-201, Wilson K, Class instruction is: Face to Face - On Campus.
AFRS 319, RACIAL & ETHNIC EXPERIENCE US, 3 Units, 01, 6375, NONE, NONE, 310, LEC, TuTh, 2-3:15PM, OPEN, LH-151, Karenga M, Class instruction is: Face to Face - On Campus.
AFRS 343A, AFRICAN LITERATURE, 3 Units, 01, 3982, NONE, NONE, 310, LEC, MW, 2-3:15PM, OPEN, PSY-236, Okafor U, Class instruction is: Face to Face - On Campus.
AFRS 346, AFRICANA THEATRE, 3 Units, 01, 8503, NONE, NONE, 310, LEC, TuTh, 12:30-1:20PM, OPEN, PSY-236, Nicholas A, Class instruction is: Face to Face - On Campus.
AFRS 346, AFRICANA THEATRE, 3 Units, 02, 8867, NONE, NONE, 310, ACT, TuTh, 1:30-2:30PM, OPEN, PSY-236, Nicholas A, Class instruction is: Face to Face - On Campus.
AFRS 353, RELIGIONS OF AFRICAN PEOPLES, 3 Units, 01, 3203, NONE, NONE, 306, LEC, TuTh, 9:30-10:45AM, OPEN, ONLINE-ONLY, Karenga M, Class instruction is: Synch. Online - Meet Times.
AFRS 420, AFRICAN AMER CHILDREN PUB SCH, 3 Units, 01, 6945, NONE, NONE, 306, LEC, Tu, 7-9:45PM, OPEN, ONLINE-ONLY, Sartin N, Class instruction is: Synch. Online - Meet Times.
AFRS 440, BLACK LOS ANGELES, 3 Units, 01, 8916, NONE, NONE, 310, SEM, MW, 9:30-10:45AM, OPEN, PSY-236, Claybrook M, Class instruction is: Face to Face - On Campus.
AFRS 454, AFRICANA WOMANISM INTEL HIST, 3 Units, 01, 2764, NONE, NONE, 310, LEC, MW, 12:30-1:45PM, OPEN, LA5-165, Staff, Class instruction is: Face to Face - On Campus.
AFRS 499, DIRECTED STUDIES, 1-3 Units, 01, 2812, NONE, NONE, 305, SUP, TBA, NA, OPEN, ONLINE-ONLY, Karenga M, nstructor Consent Required Class instruction is: Asynch. Online-No Meet Times.
ASLD 101, AMERICAN SIGN LANGUAGE 1, 4 Units, 01, 7533, NONE, NONE, NONE, SEM, MW, 2-3:50PM, OPEN, LA4-100, Castro Osnaya A, Class instruction is: Face to Face - On Campus.
ASLD 101, AMERICAN SIGN LANGUAGE 1, 4 Units, 02, 4562, NONE, NONE, NONE, SEM, TuTh, 8-9:50AM, OPEN, LA4-100, Wu X, Class instruction is: Face to Face - On Campus.
ASLD 101, AMERICAN SIGN LANGUAGE 1, 4 Units, 03, 4563, NONE, NONE, NONE, SEM, TuTh, 10-11:50AM, OPEN, LA4-100, Wu X, Class instruction is: Face to Face - On Campus.
ASLD 101, AMERICAN SIGN LANGUAGE 1, 4 Units, 04, 4564, NONE, NONE, NONE, SEM, Tu, 12-1:50PM, OPEN, LA4-100, Gough T, Class instruction is: Hybrid (Face to Face & Online).
ASLD 101, AMERICAN SIGN LANGUAGE 1, 4 Units, 04, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Staff, additional meeting detail
ASLD 101, AMERICAN SIGN LANGUAGE 1, 4 Units, 05, 4970, NONE, NONE, NONE, SEM, MW, 12-1:50PM, OPEN, LA4-100, Perez N, Class instruction is: Face to Face - On Campus.
ASLD 101, AMERICAN SIGN LANGUAGE 1, 4 Units, 07, 7111, NONE, NONE, NONE, SEM, MW, 11-12:50PM, OPEN, LAB-114, Castro Osnaya A, Class instruction is: Face to Face - On Campus.
ASLD 101, AMERICAN SIGN LANGUAGE 1, 4 Units, 08, 7144, NONE, NONE, NONE, SEM, TuTh, 4-5:50PM, OPEN, SPA-104, Perez N, Class instruction is: Face to Face - On Campus.
ASLD 101, AMERICAN SIGN LANGUAGE 1, 4 Units, 09, 8615, NONE, NONE, NONE, SEM, MW, 8-9:50AM, OPEN, LA4-100, Moges A, Class instruction is: Face to Face - On Campus.
ASLD 102, AMERICAN SIGN LANGUAGE 2, 4 Units, 01, 8617, NONE, NONE, 310, SEM, MW, 10-11:50AM, OPEN, LA4-100, Moges A, Class instruction is: Face to Face - On Campus.
ASLD 102, AMERICAN SIGN LANGUAGE 2, 4 Units, 02, 8618, NONE, NONE, 310, SEM, TuTh, 2-3:50PM, OPEN, LA4-100, Moges A, Class instruction is: Face to Face - On Campus.
ASLD 124, AMERICAN DEAF CULTURES, 3 Units, 01, 4565, NONE, NONE, NONE, LEC, MW, 2-3:15PM, OPEN, PSY-153, Moges A, Class instruction is: Face to Face - On Campus.
ASLD 151, MEXICAN SIGN LANGUAGE 1, 4 Units, 01, 8614, NONE, NONE, NONE, SEM, MW, 9-10:50AM, OPEN, LAB-305, Castro Osnaya A, Class instruction is: Face to Face - On Campus.
ASLD 201, AMERICAN SIGN LANGUAGE 3, 4 Units, 01, 4566, NONE, NONE, NONE, SEM, Tu, 9-10:50AM, OPEN, LA1-204, Gough T, Class instruction is: Hybrid (Face to Face & Online).
ASLD 201, AMERICAN SIGN LANGUAGE 3, 4 Units, 01, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Staff, additional meeting detail
ASLD 202, AMERICAN SIGN LANGUAGE 4, 4 Units, 01, 4969, NONE, NONE, NONE, SEM, MW, 4-5:50PM, OPEN, SPA-104, Perez N, Class instruction is: Face to Face - On Campus.
ASLD 212, BEG. INTERPRETING & ETHICS 2, 3 Units, 01, 5017, NONE, NONE, NONE, LEC, TuTh, 11-12:15PM, OPEN, LAB-305, Calen K, Class instruction is: Face to Face - On Campus.
